case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,mechanism_candidate_confidence,mechanism_candidate_rule,protocol_status,mechanism_status
selltoken,SellToken02,selltoken,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
snk,SNK,snk,Reward Calculation Error,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bunn,BUNN,bunn,Reflection tokens,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
babydogecoin02,BabyDogeCoin02,babydogecoin,Lack Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
compounderfinance,CompounderFinance,compounderfinance,Manipulation of funds through fluctuations in the amount of exchangeable assets,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cellframe,Cellframenet,cellframe,Calculation issues during liquidity migration,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
biswap,Biswap,biswap,V3Migrator Exploit,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
ddcoin,DDCoin,ddcoin,Flashloan attack and smart contract vulnerability,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mimspell,MIMSpell,mimspell,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
myai,MyAi,myai,Business Logic,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pawnfi,Pawnfi,pawnfi,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sellc03,SellToken04,sellc,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
depusdt_levusdc,DEPUSDT_LEVUSDC,depusdt_levusdc,Incorrect access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
shido_2,SHIDO,shido,Business Logic,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
un,UN,un,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
vinu,VINU,vinu,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sturdy,Sturdy Finance,sturdy,Read-Only-Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bno,BNO,bno,Invalid emergency withdraw mechanism,availability_failure,medium,rule:availability_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
apedao,APEDAO,apedao,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bamboo,BambooIA,bamboo,Price manipulation attack,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
conic02,Conic Finance 02,conic,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bao,BaoCommunity,bao,Donate Inflation ExchangeRate && Rounding Error,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
conic,Conic Finance,conic,Read-Only-Reentrancy && MisConfiguration,reentrancy,low,multi_rule:business_logic_failure+reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
conic_2,Conic Finance,conic,Read-Only-Reentrancy && MisConfiguration,reentrancy,low,multi_rule:business_logic_failure+reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gymnet,GYMNET,gymnet,Insufficient validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ffist,FFIST,ffist,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mintofinance,MintoFinance,mintofinance,Signature Replay,signature_or_replay_failure,medium,rule:signature_or_replay_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
newfi,NewFi,newfi,Lack Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
usdtstakingcontract28,USDTStakingContract28,usdtstakingcontract,Lack of access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
utopia,Utopia,utopia,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
palmswap,Palmswap,palmswap,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sut,SUT,sut,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wgpt,WGPT,wgpt,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
btc20,BTC20,btc,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ehive,EHIVE,ehive,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
balancer,Balancer,balancer,Rounding Error && Business Logic Flaw,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
eac,EAC,eac,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
earningfram,EarningFram,earningfram,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
leetswap,LeetSwap,leetswap,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uwerx,Uwerx,uwerx,Fault logic,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bfctoken,BFCToken,bfctoken,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
floordao,FloorDAO,floordao,Rebasing logic issue,token_semantics_mismatch,low,multi_rule:business_logic_failure+token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
heavensgate,HeavensGate,heavensgate,Rebasing logic issue,token_semantics_mismatch,low,multi_rule:business_logic_failure+token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
kub_split,KubSplit,kub_split,Pool manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
jumpfarm,JumpFarm,jumpfarm,Rebasing logic issue,token_semantics_mismatch,low,multi_rule:business_logic_failure+token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
quantumwn,QuantumWN,quantumwn,Rebasing logic issue,token_semantics_mismatch,low,multi_rule:business_logic_failure+token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uniclynft,uniclyNFT,uniclynft,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bh,BH,bh,Price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
depayrouter,DePayRouter,depayrouter,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
astrid,AstridProtocol,astrid,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hopelend,Hopelend,hopelend,Div Precision Loss,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
openleverage,OpenLeverage,openleverage,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
zs,ZS,zs,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wiselending,WiseLending,wiselending,Donate Inflation ExchangeRate && Rounding Error,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pseudoeth,pSeudoEth,pseudoeth,Pool manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ktaf,kTAF,ktaf,CompoundV2 Inflation Attack,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
3913,3913Token,unknown,Deflationary Token Attack,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
burntbubba,Burntbubba,burntbubba,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
fiberrouter,FiberRouter,fiberrouter,input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
carolprotocol,CAROLProtocol,carolprotocol,Price Manipulation Via Reentrancy,reentrancy,low,multi_rule:oracle_or_market_manipulation+reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ehx,EHX,ehx,Lack of Slippage Control,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mahalend,MahaLend,mahalend,Donate Inflation ExchangeRate & Rounding Error,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
swampfinance,SwampFinance,swampfinance,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
raft,Raft_fi,raft,Donate Inflation ExchangeRate & Rounding Error,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+economic_constraint_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rbalancer,RBalancer,rbalancer,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
shibatoken,ShibaToken,shibatoken,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
weco,WECO,weco,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
thenftv2,TheNFTV2,thenft,logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
onyxprotocol,OnyxProtocol,onyxprotocol,Precission Loss Vulnerability,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bct,BCT,bct,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
trustpad,TrustPad,trustpad,Lack of msg.sender address verification,authorization_failure,low,multi_rule:authorization_failure+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
grok,grok,grok,Lack of slippage protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
goodcompound,GoodCompound,goodcompound,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bearndao,BEARNDAO,bearndao,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hypr,HYPR,hypr,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
floorprotocol,FloorProtocol,floorprotocol,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xai,XAI,xai,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mamo,MAMO,mamo,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gooddollar,GoodDollar,gooddollar,Lack of Input Validation & Reentrancy,validation_failure,low,multi_rule:reentrancy+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
kest,KEST,kest,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nfttrader,NFTTrader,nfttrader,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pineprotocol,PineProtocol,pineprotocol,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cfc,CFC,cfc,Uniswap Skim() token balance attack,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
shido,SHIDO,shido,Business Logic,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
paraspace,ParaSpace NFT,paraspace,Flashloan + scaledBalanceOf Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
allbridge_2,Allbridge,allbridge,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lusd,LUSD,lusd,Price manipulation attack,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gss,GSS,gss,skim token balance,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xsdwethpool,XSDWETHpool,xsdwethpool,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
laeeb,LaEeb,laeeb,Lack Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ais,AIS,ais,Insufficient validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hct,HCT,hct,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lqdx_alert,LQDX,lqdx_alert,Unauthorized TransferFrom,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bmizapper,BmiZapper,bmizapper,Arbitrary external call vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mic,MIC,mic,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
barleyfinance,BarleyFinance,barleyfinance,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mimspell2,MIMSpell,mimspell,Precission Loss,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
peapodsfinance,PeapodsFinance,peapodsfinance,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wiselending02,WiseLending,wiselending,Bad HealthFactor Check,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
socketgateway,SocketGateway,socketgateway,Lack of calldata validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wiselending03,WiseLending,wiselending,Bad HealthFactor Check,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xsij,XSIJ,xsij,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
adc,ADC,adc,incorrect-access-control,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
affinedefi,AffineDeFi,affinedefi,lack of validation userData,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
compounduni,CompoundUni,compounduni,Oracle bad price,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
burnsdefi,BurnsDefi,burnsdefi,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bob,Bob,bob,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
blueberryprotocol,BlueberryProtocol,blueberryprotocol,logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
deeznutz404,DeezNutz 404,deeznutz,lack of validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bzx2,bZxProtocol,bzx,Inflation Attack,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
game,Game,game,Reentrancy && Business Logic Flaw,reentrancy,low,multi_rule:business_logic_failure+reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dualpools,DualPools,dualpools,precision truncation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
miner_bsc,MINER,miner_bsc,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
particletrade,ParticleTrade,particletrade,lack of validation data,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pandora,Pandora,pandora,Integer Underflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ruggedart,RuggedArt,ruggedart,reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
miner,Miner,miner,lack of validation dst address,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
seneca,Seneca,seneca,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
alp,ALP,alp,Public internal function,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
ethfin,ETHFIN,ethfin,lack of access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ark,ARK,ark,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bbt,BBT,bbt,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
binemon,Binemon,binemon,precission-loss,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
juice,Juice,juice,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
tgbs,TGBS,tgbs,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
atm,ATM,atm,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
chaingefinance,ChaingeFinance,chaingefinance,Arbitrary External Call,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
fil314,FIL314,fil,Insufficient Validation And Price Manipulation,validation_failure,low,multi_rule:oracle_or_market_manipulation+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gfa,GFA,gfa,business-logic-flaw,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
hackathon,Hackathon,hackathon,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hoppyfrogerc,HoppyFrogERC,hoppyfrogerc,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hedgeyfinance,HedgeyFinance,hedgeyfinance,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ngfs,NGFS,ngfs,Bad Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
satx,SATX,satx,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
squid,SQUID,squid,sandwich attack,transaction_ordering_or_mev,medium,rule:transaction_ordering_or_mev,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ups,UPS,ups,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
openleverage2,OpenLeverage,openleverage,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wsm,wsm,wsm,manipulating price,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
z123,Z123,z,price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
yiedl,YIEDL,yiedl,Input Validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
burner,Burner,burner,sandwich ack,transaction_ordering_or_mev,medium,rule:transaction_ordering_or_mev,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
excommunity,EXcommunity,excommunity,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sumermoney,SumerMoney,sumermoney,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
metadragon,MetaDragon,metadragon,Lack of Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gpu,GPU,gpu,self transfer,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
liquiditytokens,Liquiditytokens,liquiditytokens,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
redkeyscoin,RedKeysCoin,redkeyscoin,Weak RNG,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
normie,NORMIE,normie,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
osn,OSN,osn,Reward Distribution Problem,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
tsuru,TSURU,tsuru,Insufficient Validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
apemaga,APEMAGA,apemaga,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
crb2,Crb2,crb,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
incufi,INcufi,incufi,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ncd,NCD,ncd,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
tradeonorion,Tradeonorion,tradeonorion,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dyson_money,Dyson_money,dyson_money,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
steamswap,SteamSwap,steamswap,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wifcoin_eth,WIFCOIN_ETH,wifcoin_eth,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
jokinthebox,JokInTheBox,jokinthebox,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
minestm,MineSTM,minestm,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
will,Will,will,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lifiprotocol,Lifiprotocol,lifiprotocol,Incorrect input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uwulend_first,UwULend,uwulend,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lw2,LW,lw,Integer Underflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uwulend_second,UwULend,uwulend,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
